License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Number,Agency Zone Office Name,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,ZIP,License Certificate Number,License Received Date
1323080,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,MANHATTAN AVENUE COMMUNITY CAFE INC,,51 W 106 ST,,NEW YORK,NY,10025,,11/07/2019
1323081,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,COMEDOR DEL ESTE SUPERIOR LLC,TACOMBI,204 E 70TH ST,,NEW YORK,NY,10021,,11/07/2019
1323082,RESTAURANT WINE,341,RW,1,New York City,KINGS,RED HOT SPICE INC,CURRY HEIGHTS,151 REMSEN ST,,BROOKLYN,NY,11201,,11/07/2019
1323084,GROCERY STORE BEER,122,A,1,New York City,KINGS,2020 RIVERDALE DELI GROCERY CORP,,570 PENNSYLVANIA AVE,,BROOKLYN,NY,11207,,11/07/2019
1323087,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,KONKAPOT ENTERTAINMENT INC,THE GOLF CLUB,59 CHELSEA PIERS,GOLF LOUNGE,NEW YORK,NY,10011,,11/07/2019
1323088,ON-PREMISES LIQUOR,252,OP,1,New York City,SUFFOLK,LA BUENA VIDA LLC,LA BUENA VIDA,714 MONTAUK HWY,,MORICHES,NY,11955,,11/07/2019
2219522,"GROCERY BEER, WINE PROD",122,AX,2,Albany,JEFFERSON,BENNETT FAMILY STORES LLC,,13306 NORTH ST,,ADAMS CENTER,NY,13606,,11/07/2019
1323092,ON-PREMISES LIQUOR,252,OP,1,New York City,WESTCHESTER,MICAELA'S RESTAURANT INC,NOCHE BUENA BAR & LOUNGE,208 TOMAHAWK ST ,,YORKTOWN HEIGHTS,NY,10598,,11/07/2019
1323095,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,FLIK INTERNATIONAL CORP,,63 FLUSHING AVE,1ST FLR,BROOKLYN,NY,11205,,11/07/2019
1323096,ON-PREMISES LIQUOR,252,OP,1,New York City,SUFFOLK,IBM VENTURES INC,SUNDRIED TOMATO CAFE,127 SMITHTOWN BLVD,"STORE 3, 4",NESCONSET,NY,11767,,12/18/2019
1323099,ON-PREMISES LIQUOR,252,OP,1,New York City,RICHMOND,MISAKI II CORP,MISAKI SUSHI,645 ROSSVILLE AVE,STORE 108,STATEN ISLAND,NY,10309,,11/07/2019
1323102,EATING PLACE BEER,141,EB,1,New York City,QUEENS,KKA EXPRESS LLC,L & Y DELI & GROCERY,95-14 JAMAICA AVE,,WOODHAVEN,NY,11421,,11/07/2019
1323105,LIQUOR STORE,222,L,1,New York City,KINGS,YAAYIN LLC,,5006 12TH AVE,,BROOKLYN,NY,11219,,11/07/2019
1323108,LIQUOR STORE,222,L,1,New York City,QUEENS,MY PLACE LIQUORS & WINES CORP,,145-14 14TH AVE ,,WHITESTONE,NY,11357,,11/07/2019
1323111,CATERING ESTABLISHMENT,246,CT,1,New York City,KINGS,CARROLL HALL LLC,CARROLL HALL,2 VANDERVOORT PL,,BROOKLYN,NY,11237,,11/07/2019
1323112,"GROCERY CHAIN, WINE PROD",128,AX,1,New York City,WESTCHESTER,PALISADES FUEL INC,,34 BROADWAY,,VALHALLA,NY,10595,,11/07/2019
1323113,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,SOCOLAND INC,,563 5TH AVE,,BROOKLYN,NY,11215,,11/07/2019
1323114,WHOLESALE LIQUOR,203,LL,1,New York City,NEW YORK,FIVE FLIGHTS WINE CONSULTING SERVICES LLC,FIVE FLIGHTS WINES AND SPIRITS,1178 BROADWAY,3RD FL #319,NEW YORK,NY,10001,,11/07/2019
1323115,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,MOONCAKE FOODS INC,,112 6TH AVE ,,NEW YORK,NY,10013,,11/07/2019
1323116,LIQUOR STORE,222,L,1,New York City,QUEENS,HARBOR WINE AND SPIRITS M CORP,,185 BEACH 116TH ST,,FAR ROCKAWAY,NY,11694,,11/08/2019
1323117,CATERING ESTABLISHMENT,246,CT,1,New York City,BRONX,NORBERTO ENTERPRISES LLC,,3604C E TREMONT AVE,,BRONX,NY,10465,,11/08/2019
1323120,ON-PREMISES LIQUOR,252,OP,1,New York City,SUFFOLK,RELISH FOOD LLC,,551 HAUPPAUGE RD,,HAUPPAUGE,NY,11708,,11/08/2019
1323122,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,EL PARCHE BAKERY & RESTAURANT LLC,,67-14 FRESH POND RD,,RIDGEWOOD,NY,11385,,11/08/2019
1323124,RESTAURANT WINE,341,RW,1,New York City,KINGS,NEW PHO TAY HO INC,PHO TAY HO 86,2351 86TH ST,,BROOKLYN,NY,11214,,11/08/2019
1323127,CLUB LIQUOR,243,CL,1,New York City,QUEENS,CONTINENTAL POST #1424 INC,AMERICAN LEGION CONTINENTAL POST 1424,107-15 METROPOLITAN AVE,,FOREST HILLS,NY,11375,,11/08/2019
1323132,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,TERAZA NYC INC,,825 SURF AVE,2ND FL,BROOKLYN,NY,11224,,11/08/2019
1323136,ON-PREMISES LIQUOR,252,OP,1,New York City,SUFFOLK,LOS CEBOLLINES GRILL INC,LOS CEBOLLINES GRILL,170 E MONTAUK HWY,,LINDENHURST,NY,11757,,11/08/2019
1323138,LIQUOR STORE,222,L,1,New York City,KINGS,LEAKY BARREL WINES AND SPIRITS INC,,7611 NEW UTRECHT AVE,,BROOKLYN,NY,11214,,11/08/2019
1323142,ON-PREMISES LIQUOR,252,OP,1,New York City,SUFFOLK,PHAYATHAI LI LLC,,735 HAWKINS AVE,,LAKE RONKONKOMA,NY,11779,,11/08/2019
1323144,LIQUOR STORE,222,L,1,New York City,QUEENS,NURUDDIN WINE & LIQUOR OUTLET INC ,WINE & LIQUOR OUTLET ,75-93 UTOPIA PWKY ,,FRESH MEADOWS ,NY,11366,,11/08/2019
1323147,"GROCERY BEER, WINE PROD",122,AX,1,New York City,SUFFOLK,SELDEN CONV AND SMOKES INC ,MR TOBACCO SHOP ,456 MIDDLE COUNTRY RD ,,SELDEN ,NY,11784,,11/08/2019
1323149,WHOLESALE LIQUOR,203,LL,1,New York City,NEW YORK,MASSANOIS LLC,MASSANOIS IMPORTS,443 PARK AVE S,STE 501,NEW YORK,NY,10016,,11/08/2019
1323150,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,ARPING RESTAURANT 45 INC,,45 DIVISION ST,,NEW YORK,NY,10002,,11/08/2019
1323153,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,CLINTON EAST CORP,OMAR'S KITCHEN,29 CLINTON ST,,NEW YORK,NY,10002,,11/08/2019
1323155,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,GINO SORBILLO LLC,GINO SORBILLO,334 BOWERY,,NEW YORK,NY,10012,,11/08/2019
1323156,CLUB WINE,343,CW,1,New York City,BRONX,RED DOOR I INC,,4557 WHITE PLAINS RD,,BRONX,NY,10470,,11/08/2019
1323157,LIQUOR STORE,222,L,1,New York City,KINGS,ME LIQUORS CORP,,245 STANLEY AVE,,BROOKLYN,NY,11207,,11/12/2019
1323158,RESTAURANT WINE,341,RW,1,New York City,QUEENS,KRAVE IT BAYSIDE INC,,40-15 BELL BLVD,,BAYSIDE,NY,11361,,11/12/2019
1323159,LIQUOR STORE,222,L,1,New York City,NASSAU,MANIANI LIQUOR INC,,395 SUNRISE HWY,,FREEPORT,NY,11520,,11/12/2019
1323160,WHOLESALE WINE,303,WW,1,New York City,KINGS,IBERIAN WINES IMPORTS INC,,1315 AVENUE J,OFFICE 3,BROOKLYN,NY,11230,,11/12/2019
1323161,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NEW YORK,VARICK NEWSSTAND LLC ,GLOBAL NEWSSTAND ,200 VARICK ST ,UNIT 5 ,NEW YORK ,NY,10014,,11/12/2019
1323164,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,MB 3569 CORP,,3569 BROADWAY ,STORE 1,NEW YORK,NY,10031,,11/12/2019
