License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Number,Agency Zone Office Name,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,ZIP,License Certificate Number,License Received Date
1322727,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,GIFT NEW YORK NO 2 LLC ,E A K RAMEN,360 W 46TH ST ,,NEW YORK ,NY,10036,,10/25/2019
2219326,"GROCERY CHAIN, BEER ONLY",128,A,2,Albany,ALBANY,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #19911,805 HELDERBERG TRAIL,,EAST BERNE,NY,12059,916326,10/25/2019
1322728,"GROCERY BEER, WINE PROD",122,AX,1,New York City,QUEENS,21-29 CONVENIENCE GROCERY INC ,CONVENIENCE ,21-29 MOTT AVE ,,FAR ROCKAWAY ,NY,11691,,10/25/2019
1322731,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,JIMMY'S 3 SONS NATURAL PLUS CORP ,,6901 FT HAMILTON PKWY ,,BROOKLYN ,NY,11228,,10/25/2019
1322732,ON-PREMISES LIQUOR,252,OP,1,New York City,RICHMOND,HBTJ ND LLC ,HO-BRAH ,31 NEW DORP PLAZA ,,STATEN ISLAND ,NY,10306,,10/25/2019
2219328,ON-PREMISES LIQUOR,252,OP,2,Albany,OSWEGO,RL MALONE INC,THE FERRIS WHEEL,6 MARKET ST,,OSWEGO,NY,13126,,10/25/2019
1322733,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NASSAU,AIM PETROLEUM INC ,,1442 WANTAGH AVE ,,WANTAGH ,NY,11793,,10/25/2019
1322735,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,EL GRAN COFFEE SHOP CORP,,86-10 ROOSEVELT AVE,,JACKSON HEIGHTS,NY,11372,,10/28/2019
1322737,"GROCERY CHAIN, WINE PROD",128,AX,1,New York City,WESTCHESTER,CHESTNUT MARTS INC,,192 N BEDFORD RD,,MOUNT KISCO,NY,10549,,10/28/2019
1322739,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,US BANGLA GROCERY INC,,1424 NEWKIRK AVE,,BROOKLYN,NY,11226,,10/28/2019
1322742,ON-PREMISES LIQUOR,252,OP,1,New York City,WESTCHESTER,PLEASANTVILLE MANOR EVENTS LLC,,110 NANNAHAGAN RD,,PLEASANTVILLE,NY,10570,,10/28/2019
1322745,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NASSAU,GDL BAGEL INC,BEACH BAGEL AND DELI,1090 W BEECH ST,,LONG BEACH,NY,11561,,10/28/2019
2219333,WINE CATERING,354,WC,2,Albany,SARATOGA,SKIDMORE COLLEGE,SKIDMORE COLLEGE - SURREY WILLIAMSON INN,920 NORTH BROADWAY,,SARATOGA SPRINGS,NY,12866,,10/28/2019
1322750,LIQUOR STORE,222,L,1,New York City,KINGS,CELLARY INC,,8916 3RD AVE,,BROOKLYN,NY,11209,,10/28/2019
1322751,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,FULGURANCES NYC LLC,,132 FRANKLIN ST,,BROOKLYN,NY,11222,,10/28/2019
1322752,GROCERY STORE BEER,122,A,1,New York City,KINGS,S & N DELI CORP,,3336 FULTON ST,,BROOKLYN,NY,11208,,10/28/2019
2219335,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,MS WINES LLC,MARTHA STOUMEN,5230 MCFARLANE RD,,SEBASTOPOL,NY,95472,,10/28/2019
1322754,RESTAURANT WINE,341,RW,1,New York City,QUEENS,GRILL ON BBQ CORP,GEO SI GI,152-28 NORTHERN BLVD,,FLUSHING,NY,11354,,10/28/2019
1322758,ON-PREMISES LIQUOR,252,OP,1,New York City,BRONX,SANBRA DOOR RESTAURANT LLC,,861 E TREMONT AVE ,,BRONX,NY,10460,,10/28/2019
2219338,RESTAURANT BREWER,210,MR,2,Albany,ONONDAGA,BULLFINCH BREWPUB LLC,BULLFINCH BREWERY,720 VAN RENSSELAER ST,STE 105,SYRACUSE             ,NY,13204,,10/28/2019
2219340,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,STYRING VINEYARDS LLC,STYRING VINEYARDS,19960 NE RIBBON RIDGE RD,,NEWBERG,OR,97132,917909,10/28/2019
3164081,TEMPORARY WINERY/FARM WINERY,306,FP,3,Buffalo,SENECA,"BOLAND THOMAS VINEYARDS, LLC ",,3024 COUNTY RD 138 ,,OVID ,NY,14521,562304,10/28/2019
3164082,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,ERIE,BAILEY 1 STOP SHOP INC,,2906 BAILEY AVE,,BUFFALO,NY,14215,,10/28/2019
1322766,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,D AND A COFFEE LLC,12 CHAIRS CAFE,58 MACDOUGAL ST,,NEW YORK,NY,10012,,10/28/2019
1322769,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,HAND STUFF LLC,NICKY'S UNISEX,90 S 4TH ST,,BROOKLYN,NY,11249,,10/28/2019
1322771,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,1280 ALLERTON AVE INC,SUNOCO,1280 ALLERTON AVE,,BRONX,NY,10469,,10/28/2019
1322772,ON-PREMISES LIQUOR,252,OP,1,New York City,NASSAU,SOKU RESTAURANT INC,SOKU ASIAN FUSION,36 MIDDLE NECK RD,,GREAT NECK,NY,11021,,10/28/2019
1322774,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,SHANTI DELI GROCERY CORP,DOWNTOWN NEWSSTAND ,5604 4TH AVE,,BROOKLYN,NY,11220,,10/28/2019
1322777,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,PELICANA E8ST INC,,52 E 8TH ST,,NEW YORK,NY,10003,,10/28/2019
3164088,ON-PREMISES LIQUOR,252,OP,3,Buffalo,ONTARIO,LAS COROZAS SPR BAR AND CLUB LLC,LAS COROZAS SPR BAR AND CLUB,288 EXCHANGE ST,,GENEVA,NY,14456,,10/28/2019
1322778,"GROCERY BEER, WINE PROD",122,AX,1,New York City,QUEENS,138 HILLSIDE AVE INC,MOBIL,138-50 HILLSIDE AVE,,JAMAICA,NY,11435,,10/28/2019
3164089,LIQUOR STORE,222,L,3,Buffalo,STEUBEN,SOUTH CORNING LIQUOR AND WINE INC,,337 PARK AVE,,CORNING,NY,14830,,10/28/2019
1322779,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,NEW LIFE JUICE BAR & LOUNGE LLC,,67 ST NICHOLAS AVE,,NEW YORK,NY,10026,,10/28/2019
1322781,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,GUMBO ET TOUS LLC,,59 E 125TH ST,,NEW YORK,NY,10035,,10/28/2019
1322782,RESTAURANT WINE,341,RW,1,New York City,NASSAU,ZOUJI DUMPLING HOUSE INC ,,188 GLEN COVE AVE ,,GLEN COVE ,NY,11542,,10/28/2019
1322784,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,GRANNY ANNIE'S NYC BAR & KITCHEN LLC,,425 MAIN ST,,ROOSEVELT ISLAND,NY,10044,,10/28/2019
3164090,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,ERIE,LAKE AVENUE SERVICE LLC,BETHFORD AUTO,4490 LAKE AVE,,BLASDELL,NY,14219,,10/28/2019
1322785,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,MARRIOTT RESORTS HOSPITALITY CORPORATION,"MARRIOTT VACATION CLUB PULSE NYC, STRAND BISTRO ",33 W 37TH ST,,NEW YORK,NY,10018,,10/28/2019
1322786,ON-PREMISES LIQUOR,252,OP,1,New York City,WESTCHESTER,415 COMMERCE STREET LLC ,UNIONVILLE TAVERN ,415 COMMERCE ST ,,HAWTHORNE ,NY,10532,,10/28/2019
1322788,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,7002 13TH AVE MEAT LLC,SUPER FRESH,7002 13TH AVE,,BROOKLYN ,NY,11228,,10/29/2019
1322826,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,WYCKOFF HEIGHTS GOURMET MARKET DELI CORP,,263 WYCKOFF AVE,,BROOKLYN,NY,11237,,10/29/2019
1322828,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,DARKE HOSPITALITY LLC,DARKE,15 W 8TH ST,,NEW YORK,NY,10011,,11/12/2019
1322829,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,BAYARD SUSHI INC,,83 BAYARD ST ,,NEW YORK,NY,10013,,10/29/2019
1322830,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,TJR 31 INC,BAR DALIA,33-17 31ST AVE,,ASTORIA ,NY,11106,,10/29/2019
1322831,ON-PREMISES LIQUOR,252,OP,1,New York City,SUFFOLK,COBRA RESTAURANT GROUP LLC,CULTURE FINE FOOD & COCKTAILS,94 E MAIN ST,,BABYLON,NY,11795,,10/29/2019
1322833,LIQUOR STORE,222,L,1,New York City,NASSAU,1021 FINE WINES CORP ,,1021 OYSTER BAY RD ,,EAST NORWICH ,NY,11732,,10/29/2019
1322836,ON-PREMISES LIQUOR,252,OP,1,New York City,NASSAU,EL BAR LOCO INC,LA PURA VIDA,12 BROOKLYN AVE ,,FREEPORT,NY,11520,,10/29/2019
3164096,"GROCERY CHAIN, BEER ONLY",128,A,3,Buffalo,CHAUTAUQUA,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #17957,3032 RTE 430,,BEMUS POINT,NY,14712,916329,10/29/2019
3164097,"GROCERY CHAIN, BEER ONLY",128,A,3,Buffalo,MONROE,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #9355,1816 LAKE RD,,HAMLIN,NY,14464,916319,10/29/2019
2219361,"GROCERY CHAIN, BEER ONLY",128,A,2,Albany,SULLIVAN,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #16890,37 GLEN WILD RD,,ROCK HILL,NY,12775,916330,10/29/2019
3164098,FARM CIDERY,309,CF,3,Buffalo,WAYNE,BERNARD BRANDS LLC,BOOM POINT,7483 SALMON CREEK RD,,WILLIAMSON,NY,14589,,10/29/2019
1322838,"GROCERY CHAIN, WINE PROD",128,AX,1,New York City,SUFFOLK,BOLLA OPERATING L I CORP,BOLLA 1050 UDALL RD C-STORE,1050 UDALL RD,,BAY SHORE,NY,11706,,10/29/2019
3164099,COMBINED CRAFT MANUFACTURER,110,CM,3,Buffalo,WAYNE,BERNARD BRANDS LLC,BOOM POINT,7483 SALMON CREEK RD,,WILLIAMSON,NY,14589,,10/29/2019
1322840,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,CANAL ARCADE LLC,,48A BOWERY ST,,NEW YORK,NY,10013,,10/29/2019
1322841,ON-PREMISES LIQUOR,252,OP,1,New York City,NASSAU,MCR 4060 LLC,MICHAEL'S,4060 AUSTIN BLVD,,ISLAND PARK,NY,11558,,10/29/2019
3164100,ON-PREMISES LIQUOR,252,OP,3,Buffalo,MONROE,STRANGE BIRD BEER AND BARREL HOUSE LLC,,62 MARSHALL ST,,ROCHESTER            ,NY,14607,,10/29/2019
3164101,FARM BREWER,106,FD,3,Buffalo,MONROE,STRANGE BIRD BEER AND BARREL HOUSE LLC,,62 MARSHALL ST,,ROCHESTER            ,NY,14607,,10/29/2019
3164103,MICRO BREWER,101,MI,3,Buffalo,MONROE,STRANGE BIRD BEER AND BARREL HOUSE LLC,,62 MARSHALL ST,,ROCHESTER            ,NY,14607,,10/29/2019
3164104,COMBINED CRAFT MANUFACTURER,110,CM,3,Buffalo,MONROE,STRANGE BIRD BEER AND BARREL HOUSE LLC,,62 MARSHALL ST,,ROCHESTER            ,NY,14607,,10/29/2019
2219375,WINERY,301,DW,2,Albany,ONONDAGA,STRIGO VINEYARDS LLC,STRIGO VINEYARDS,9272 PLAINVILLE RD,,BALDWINSVILLE,NY,13027,,10/29/2019
2219376,ON-PREMISES LIQUOR,252,OP,2,Albany,ONONDAGA,STRIGO VINEYARDS LLC,STRIGO VINEYARDS,9272 PLAINVILLE RD,,BALDWINSVILLE,NY,13027,,10/29/2019
2219377,ON-PREMISES LIQUOR,252,OP,2,Albany,FRANKLIN,JESS' DINING CORPORATION,JESSIE'S SUPPER CLUB,2 WOLF POND RD,,OWLS HEAD,NY,12969,,10/29/2019
1322847,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,N&P TAVERN LLC,STATION BAR,39-50 61ST ST,,WOODSIDE,NY,11377,,10/29/2019
1322848,HOTEL LIQUOR,242,HL,1,New York City,WESTCHESTER,"AAM YONKERS SERVERS,AAM YONKERS A HOTEL LLC&AAM 15",COURTYARD BY MARRIOTT YONKERS WESTCHESTER COUNTY,5 EXECUTIVE BLVD,,YONKERS              ,NY,10701,,10/30/2019
2219379,"GROCERY CHAIN, WINE PROD",128,AX,2,Albany,SARATOGA,MARTIN'S FOODS OF SOUTH BURLINGTON LLC,HANNAFORD SUPERMARKET & PHARMACY #8447,3 VIA ROSSI WAY,,BALLSTON SPA,NY,12020,,10/30/2019
1322851,EATING PLACE BEER,141,EB,1,New York City,NEW YORK,SALAD BAR & DELI CORP ,,706 W 177TH ST ,,NEW YORK ,NY,10033,,10/30/2019
2219381,LIQUOR STORE,222,L,2,Albany,ORANGE,BLUE LABEL WINE & LIQUOR INC,,154 N PLANK RD,STE 350,NEWBURGH,NY,12550,,10/30/2019
2219383,MICRO BREWER,101,MI,2,Albany,BROOME,2RH PARTNERS INC,,20 HAWLEY ST,,BINGHAMTON,NY,13901,,10/30/2019
2219384,FARM BREWER,106,FD,2,Albany,BROOME,2RH PARTNERS INC,,20 HAWLEY ST,,BINGHAMTON,NY,13901,,10/30/2019
2219385,COMBINED CRAFT MANUFACTURER,110,CM,2,Albany,BROOME,2RH PARTNERS INC,,20 HAWLEY ST,,BINGHAMTON,NY,13901,,10/30/2019
2219386,ON-PREMISES LIQUOR,252,OP,2,Albany,SULLIVAN,SUNSHINE COLONY LLC,,47 MAIN ST,,LIVINGSTON MANOR,NY,12758,,10/30/2019
1322856,"GROCERY BEER, WINE PROD",122,AX,1,New York City,QUEENS,80 NYC DELI CORP ,,80-01 NORTHERN BLVD ,,JACKSON HEIGHTTS ,NY,11372,,10/30/2019
2219388,ON-PREMISES LIQUOR,252,OP,2,Albany,ALBANY,KOLAM INC,TAJ FINE INDIAN CUISINE,365 FEURA BUSH RD,,GLENMONT,NY,12077,,10/30/2019
2219390,"GROCERY CHAIN, WINE PROD",128,AX,2,Albany,JEFFERSON,MIRABITO HOLDINGS INC,MIRABITO #136 ADAMS,38 CHURCH ST,,ADAMS,NY,13605,,10/30/2019
2219394,ON-PREMISES LIQUOR,252,OP,2,Albany,WARREN,THE P HOUSE TAVERN LLC,THE PANTHER MOUNTAIN INN,6359 US 9,,CHESTERTOWN,NY,12817,,10/30/2019
2219396,"GROCERY CHAIN, WINE PROD",128,AX,2,Albany,ALBANY,MIRABITO HOLDINGS INC,MIRABITO #137 RTE 232 WATERTOWN,21623 NYS RTE 232,,WATERTOWN,NY,13601,,10/30/2019
2219398,GROCERY STORE BEER,122,A,2,Albany,ONONDAGA,MOHAMMAD AKTER HOSSAIN,JORDAN EXPRESS MART,425 STATE RTE 31,,JORDAN,NY,13080,,10/30/2019
2219399,ON-PREMISES LIQUOR,252,OP,2,Albany,ALBANY,LOS PANCHOS INC,LOS PANCHOS MEXICAN GRILL & BAR,180 DELAWARE AVE,,ALBANY               ,NY,12054,,10/30/2019
2219403,ON-PREMISES LIQUOR,252,OP,2,Albany,WARREN,RHEGAN ASSOCIATES LLC,THE BARREL,4571A LAKESHORE DR,,BOLTON LANDING,NY,12814,,10/30/2019
2219405,RESTAURANT WINE,341,RW,2,Albany,ALBANY,KUMA ANI WOLF INC,KUMA ANI,109 WOLF RD,STE 1,COLONIE,NY,12205,,10/30/2019
1322869,GROCERY STORE BEER,122,A,1,New York City,NEW YORK,M & N SMOKE & CARD INC,M & N SMOKE & GROCERY,150 E 28TH ST,,NEW YORK,NY,10016,,10/30/2019
2219408,TAVERN WINE,344,TW,2,Albany,ONONDAGA,WILLOWDALE BEND LLC,,2080 WILLOWDALE RD,,SKANEATELES,NY,13152,,10/30/2019
1322871,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,GREY DOG FLATIRON INC  THE ,THE GREY DOG ,55 W 26TH ST ,,NEW YORK ,NY,10010,,10/30/2019
3164109,LIQUOR STORE,222,L,3,Buffalo,ERIE,EMERALD INT'L HOLDINGS LTD,DEINHARDTS FINE WINE & SPIRIT,3368 A SHERIDAN DR,,AMHERST,NY,14226,,10/30/2019
1322872,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,JMZ BROADWAY DELI INC ,JMZ BROADWAY DELI INC ,296 BROADWAY ,,BROOKLYN ,NY,11211,,10/30/2019
3164111,FARM BREWER,106,FD,3,Buffalo,SCHUYLER,NORTHEAST PIZZA AND BEER LLC,SCALE HOUSE BREWERY,5930 STATE RTE 414,,HECTOR,NY,14841,916274,10/30/2019
1322876,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,TONYS DELI AND GROCERY II CORP ,,51 WOLCOTT ST ,,BROOKLYN,NY,11231,,10/30/2019
1322877,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,287 VENUE HOLDINGS LLC,,287 10TH AVE,,NEW YORK,NY,10001,,10/31/2019
1322878,IMPORTER,208,IL,1,New York City,QUEENS,TIGERS (USA) GLOBAL LOGISTICS INC,,1 CROSS ISLAND PLAZA,,ROSEDALE,NY,11422,,10/31/2019
1322879,RESTAURANT WINE,341,RW,1,New York City,KINGS,PERMSUP INC ,ACE THAI KITCHEN ,330 MYRTLE AVE ,,BROOKLYN ,NY,11205,,10/31/2019
1322881,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,SKYLIGHT HOLDINGS 5 INC,C-TOWN,237 243 AVENUE U,,BROOKLYN,NY,11223,,10/31/2019
1322884,"DRUG CHAIN, WINE PROD ",126,DX,1,New York City,NEW YORK,CVS ALBANY LLC,CVS/PHARMACY #11226,387 PARK AVE SOUTH,,NEW YORK,NY,10016,,10/31/2019
1322887,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,EDDRISH DELI & GROCERIES INC,,1836 NEREID AVE,,BRONX,NY,10466,,10/31/2019
1322890,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,AMERICAN MULTI-CINEMA INC,AMC 34TH ST 14,312 W 34TH ST,,NEW YORK,NY,10001,,10/31/2019
1322891,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,JL DELI GROCERY CORP 2 ,,3004 HEATH AVE ,,BRONX ,NY,10463,,10/31/2019
3164112,ON-PREMISES LIQUOR,252,OP,3,Buffalo,CHAUTAUQUA,FUNFOODSNY LLC,THE CHOP HOUSE ON MAIN,2 6 EAST 2ND ST,,JAMESTOWN,NY,14701,,10/31/2019
1322892,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,WALLY'S DELI CORP ,,664 E 233 ST ,,BRONX ,NY,10466,,10/31/2019
1322893,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,WHOLE FOODS MARKET GROUP INC & JAJAJA HUDSON YARDS,WHOLE FOODS MARKET & JAJAJA,450 W 33RD ST,SUITE 0200,NEW YORK,NY,10001,,10/31/2019
2219418,"GROCERY CHAIN, WINE PROD",128,AX,2,Albany,ALBANY,STEWART'S SHOPS CORP,STEWART'S SHOP #140,19 FULLER RD,,ALBANY               ,NY,12205,,10/31/2019
2219420,"GROCERY CHAIN, WINE PROD",128,AX,2,Albany,ORANGE,STEWART'S SHOPS CORP,STEWART'S SHOP #464,202 QUASSAICK AVE,,NEW WINDSOR,NY,12533,,10/31/2019
1322898,LIQUOR STORE,222,L,1,New York City,QUEENS,MISTER 709 LIQUORS INC,BREEZY WINE & LIQUOR SHOP,202-26 ROCKAWAY POINT BLVD,,ROCKAWAY POINT,NY,11697,,10/31/2019
1322903,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NEW YORK,1316 CORP,FOODTOWN,1316 AMSTERDAM AVE,,NEW YORK,NY,10027,,10/31/2019
2219426,WHOLESALE LIQUOR,203,LL,2,Albany,ST LAWRENCE,A. CAPPIONE INC,,52 54 LIBERTY AVE,,MASSENA,NY,13662,,10/31/2019
1322906,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,FAMILY DELI 4 INC ,FAMILY DELI 4 INC ,414 E TREMONT AVE ,STORE # 4 ,BRONX ,NY,10457,,10/31/2019
1322909,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,MOTEL 23 LLC,,161 W 23RD ST,,NEW YORK,NY,10011,,10/31/2019
1322914,TAVERN WINE,344,TW,1,New York City,WESTCHESTER,IMAGINE VR STUDIOS LLC,IMAGINE VR STUDIOS,650 LEE BLVD,,YORKTOWN HEIGHTS,NY,10598,,10/31/2019
1322915,RESTAURANT WINE,341,RW,1,New York City,QUEENS,LAO SHEN HOTPOT CORP ,,160-34 NORTHERN BLVD ,,FLUSHING ,NY,11358,,10/31/2019
2219427,ON-PREMISES LIQUOR,252,OP,2,Albany,ULSTER,DIXON STREET RESTAURANT LLC,DIXON ROADSIDE,261 TINKER ST,,WOODSTOCK,NY,12498,,10/31/2019
2219429,ON-PREMISES LIQUOR,252,OP,2,Albany,ROCKLAND,SANGRIAS MEXICAN RESTAURANT & TEQUILA BAR INC,,97 SOUTH RTE 303,,CONGERS,NY,10920,,10/31/2019
1322917,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,HEALTHY BITES DELI CORP,,4226 BROADWAY,,NEW YORK,NY,10033,,10/31/2019
1322918,GROCERY STORE BEER,122,A,1,New York City,NEW YORK,NEW DELI 1 CORP,,3660 BROADWAY ,,NEW YORK,NY,10031,,10/31/2019
1322919,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NEW YORK,ABDULWAHAB ALBSHARI,491 DELI GROCERY,491 2ND AVE,,NEW YORK,NY,10016,,10/31/2019
1322920,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,SARITAS MACARONI & CHEESE EV LLC,SARITA'S MAC AND CHEESE,197 1ST AVE,,NEW YORK,NY,10003,,10/31/2019
1322921,"FARM DISTILLER ""D""",207,DD,1,New York City,KINGS,JERSEY SPIRITS OF BROOKLYN DISTILLING COMPANY INC,JERSEY SPIRITS OF BOOKLYN,68 34TH ST,,BROOKLYN,NY,11232,,10/31/2019
1322922,"DISTILLER ""A-1""",206,DA,1,New York City,NEW YORK,JERSEY SPIRITS OF BROOKLYN DISTILLING COMPANY INC,JERSEY SPIRITS OF BOOKLYN,68 34TH ST,,BROOKLYN,NY,11232,,10/31/2019
1322923,RESTAURANT WINE,341,RW,1,New York City,QUEENS,BILLY'S CAFE DELI & PUB CORP,,95-39 SUTPHIN BLVD,,JAMAICA,NY,11435,,10/31/2019
1322924,COMBINED CRAFT MANUFACTURER,110,CM,1,New York City,NEW YORK,JERSEY SPIRITS OF BROOKLYN DISTILLING COMPANY INC,JERSEY SPIRITS OF BOOKLYN,68 34TH ST,,BROOKLYN,NY,11232,,10/31/2019
1322925,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,JDS RESTAURANT LLC,FORSYTHIA,9 STANTON ST,,NEW YORK,NY,10002,,10/31/2019
1322926,RESTAURANT WINE,341,RW,1,New York City,KINGS,MI BELLA CHOLULITA DELI & RESTAURANT CORP,,884 BROADWAY,,BROOKLYN,NY,11206,,10/31/2019
1322927,CATERING ESTABLISHMENT,246,CT,1,New York City,NEW YORK,ARAMARK EDUCATIONAL SERVICES LLC,,227 W 27TH ST,FELDMAN AND POMERANTZ BUILDING,NEW YORK,NY,10001,,10/31/2019
1322928,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,GREEN HARMONY MARKET CORP,,104 RALPH AVE,,BROOKLYN,NY,11221,,10/31/2019
1322930,LIQUOR STORE,222,L,1,New York City,KINGS,293 GREENE WINE LLC,RADICLE WINE,293 GREENE AVE,,BROOKLYN,NY,11238,,10/31/2019
1322931,"GROCERY BEER, WINE PROD",122,AX,1,New York City,SUFFOLK,325 PATCHOGUE HOLBROOK ROAD C-MART CORP,MILENNIUM,325 PATCHOGUE HOLBROOK RD,,HOLTSVILLE,NY,11742,,10/31/2019
1322934,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,TROPICAL PARADISE RESTAURANT & BAKERY ON AVE D INC,,1250 1252 UTICA AVE,,BROOKLYN,NY,11203,,10/31/2019
1322935,ON-PREMISES LIQUOR,252,OP,1,New York City,BRONX,JACKSON BX CORP,MEXICOSINA ,503 JACKSON AVE ,AKA 500 TRINITY AVE ,BRONX,NY,10455,,10/31/2019
1322936,"GROCERY CHAIN, WINE PROD",128,AX,1,New York City,SUFFOLK,BOLLA OPERATING L I CORP,BOLLA 950 PORTION RD C-STORE,950 PORTION RD,,RONKONKOMA,NY,11779,,11/01/2019
1322938,"GROCERY CHAIN, WINE PROD",128,AX,1,New York City,NASSAU,BOLLA OPERATING L I CORP,BOLLA 864 CARMAN C-STORE,864 CARMAN AVE,,WESTBURY,NY,11591,,11/01/2019
1322941,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,EMMA BAR & GRILL CORP,EMMA'S PLACE,3805 10TH AVE,,NEW YORK,NY,10034,,11/01/2019
3164113,TAVERN WINE,344,TW,3,Buffalo,ERIE,HATCHETS AND HOPS BLACK ROCK LLC,,68 TONAWANDA ST,COMMERCIAL SPACE 1,BUFFALO              ,NY,14207,,11/01/2019
1322942,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NEW YORK,MAHANT 277 INC ,,277 CANAL ST ,,NEW YORK ,NY,10013,,11/01/2019
3164114,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,ERIE,BUFFALO-WALDEN LLC,HAMPTON INN BUFFALO-AIRPORT / GALLERIA MALL,1745 WALDEN AVE,,CHEEKTOWAGA,NY,14225,,11/01/2019
1322943,"GROCERY CHAIN, WINE PROD",128,AX,1,New York City,SUFFOLK,BOLLA OPERATING L I CORP,BOLLA 913 PORTION RD C-STORE ,913 PORTION RD ,,RONKONKOMA ,NY,11779,,11/01/2019
3164115,RESTAURANT WINE,341,RW,3,Buffalo,ONTARIO,777 COUNTY ROAD 6 LLC,,777 COUNTY RD 6,,GENEVA,NY,14456,,11/01/2019
1322945,EATING PLACE BEER,141,EB,1,New York City,QUEENS,179 RESTAURANT AND POOLS CORP ,179 RESTAURANT AND POOLS CORP ,179-03 JAMAICA AVE ,,JAMAICA ,NY,11432,,11/01/2019
1322946,LIQUOR STORE,222,L,1,New York City,BRONX,BLUE WINE & SPIRITS INC,,132 W 238TH ST,,BRONX,NY,10463,,11/01/2019
3164116,ON-PREMISES LIQUOR,252,OP,3,Buffalo,MONROE,TAP BRIGHTON INC,BARONESS TAVERN,1776 MONROE AVE,,ROCHESTER            ,NY,14618,,11/01/2019
1322949,TAVERN WINE,344,TW,1,New York City,SUFFOLK,AXE ISLAND LLC ,,1626-1 LOCUST AVE ,T/O ISLIP ,BOHEMIA ,NY,11716,,11/01/2019
1322951,RESTAURANT WINE,341,RW,1,New York City,WESTCHESTER,BENVENUTO PIZZA & RESTAURANT II CORP,,1859 EAST MAIN ST,,MOHEGAN LAKE,NY,10547,,11/01/2019
3164117,ON-PREMISES LIQUOR,252,OP,3,Buffalo,ERIE,CAPITANO LLC,V/ICE,500 PEARL ST,STE 111,BUFFALO              ,NY,14202,,11/01/2019
1322953,ON-PREMISES LIQUOR,252,OP,1,New York City,SUFFOLK,LONG SHOT BAR AND GRILL INC,LONG SHOT BAR AND GRILL,1972 JERICHO TPKE ,,E NORTHPORT,NY,11731,,11/01/2019
